#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-3090344.852992179,299.3698372328483,0
55000,109.99999999992504,-3092624.3163353987,301.4518054305478,132
57500,114.99999999991338,-3093725.6443760823,299.85151278791847,137
60000,119.99999999990173,-3095889.3745416924,300.0555193854741,139
62500,124.99999999989008,-3095908.284990687,300.7770791368996,139
65000,129.99999999989262,-3095625.1157534774,301.3211122634159,138
67500,134.9999999999165,-3092010.3834971115,300.0729394906351,138
70000,139.99999999994037,-3095565.3277825303,300.4592834838378,137
72500,144.99999999996425,-3096657.117335951,301.0173323015007,137
75000,149.99999999998812,-3096965.8757112324,300.65975735354886,138
77500,155.000000000012,-3094065.3880662937,299.3452159771346,137
80000,160.00000000003587,-3093346.3899788577,301.2530521996565,137
82500,165.00000000005974,-3096743.953698583,300.68909599600414,137
85000,170.00000000008362,-3095428.083094077,300.66107213645597,137
87500,175.0000000001075,-3093295.444687506,300.4598961051043,137
90000,180.00000000013137,-3092689.160729956,300.19278195396413,138
92500,185.00000000015524,-3095761.4962992463,300.4463574412798,137
95000,190.0000000001791,-3092992.3757979088,300.0998432856533,138
97500,195.000000000203,-3093129.653544953,298.9342062099072,137
100000,200.00000000022686,-3092032.4803933334,300.4741074359211,137
102500,205.00000000025074,-3094570.351821268,300.46479160465464,137
105000,210.0000000002746,-3093054.245559698,299.9037984234717,137
107500,215.00000000029848,-3096322.0487600435,300.0268317779402,137
110000,220.00000000032236,-3097548.3390226867,299.71677669263545,137
112500,225.00000000034623,-3093888.036103066,300.9617456029774,137
115000,230.0000000003701,-3096222.988735171,299.73131603138455,137
117500,235.00000000039398,-3092534.0594730806,300.4226140226139,137
120000,240.00000000041786,-3096669.001300182,299.55286582224306,137
122500,245.00000000044173,-3095044.104966387,298.80632511066455,137
125000,250.0000000004656,-3094376.741805522,300.0731320655592,137
127500,255.00000000048948,-3095890.1071026735,299.20544709753676,137
130000,260.00000000051335,-3093795.4726078585,300.12128188560825,137
132500,265.0000000005372,-3095207.630963046,299.7016933287548,137
135000,270.0000000005611,-3091989.837631261,300.23527462754055,137
137500,275.000000000585,-3094514.020731747,300.1068845569566,137
140000,280.00000000060885,-3093104.0993690956,301.1521559392966,137
142500,285.0000000006327,-3098574.5659908205,300.1814528115736,137
145000,290.0000000006566,-3095525.8028833736,299.84157838490376,137
147500,295.0000000006805,-3095626.0170505233,300.3571527521042,137
150000,300.00000000070435,-3093116.148343811,300.793956869039,137
152500,305.0000000007282,-3098791.0972840134,300.6801074570974,137
155000,310.0000000007521,-3092750.0750267636,299.92668526789214,136
157500,315.00000000077597,-3093889.4753200393,300.02600251485273,136
160000,320.00000000079984,-3094170.2115383167,299.5459887068095,136
162500,325.0000000008237,-3092924.7396632303,300.03560183496353,136
165000,330.0000000008476,-3093365.6946255676,301.28676779094866,136
167500,335.00000000087147,-3096547.061838435,300.9181164688651,136
170000,340.00000000089534,-3092407.8991589174,300.144821776768,136
172500,345.0000000009192,-3095147.4409489166,300.2200119695627,136
175000,350.0000000009431,-3094686.119654868,299.59134205829156,136
177500,355.00000000096696,-3097316.1902948543,298.81747740752735,136
