#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-2676931.399900714,300.22785348795077,0
55000,109.99999999992504,-2679077.2594609056,298.79406413790116,147
57500,114.99999999991338,-2678934.9631954785,300.37011170699907,147
60000,119.99999999990173,-2674924.6361409035,300.5595233113619,147
62500,124.99999999989008,-2679812.778186785,300.2203611466376,149
65000,129.99999999989262,-2682257.341809919,300.53408569244823,150
67500,134.9999999999165,-2677629.796398811,300.3590575831909,149
70000,139.99999999994037,-2677686.710851783,299.47587873929336,150
72500,144.99999999996425,-2675028.163513249,300.0187583833723,149
75000,149.99999999998812,-2680406.906742636,300.9043882519823,149
77500,155.000000000012,-2679182.3811172564,301.27301906328677,149
80000,160.00000000003587,-2679604.51954538,300.3270545380891,148
82500,165.00000000005974,-2677848.084968321,301.46623707240263,148
85000,170.00000000008362,-2677304.6530368794,300.13664299779396,148
87500,175.0000000001075,-2678182.006853571,300.3404183101887,148
90000,180.00000000013137,-2676575.92562606,299.84587358964933,149
92500,185.00000000015524,-2677585.03896291,299.6310245246138,149
95000,190.0000000001791,-2676077.4094016366,301.41570595785873,149
97500,195.000000000203,-2678157.404604202,300.2141636375208,149
100000,200.00000000022686,-2677002.6763705425,300.5916300987625,149
102500,205.00000000025074,-2678966.429634126,300.94359657436644,149
105000,210.0000000002746,-2677590.9505740777,300.3234544615755,149
107500,215.00000000029848,-2681326.727263935,300.89345346312246,149
110000,220.00000000032236,-2681307.1997704897,299.81793056451943,149
112500,225.00000000034623,-2680014.710217461,300.3733197780278,149
115000,230.0000000003701,-2675984.291772412,300.38756728807726,149
117500,235.00000000039398,-2679106.207542833,300.7308706251646,148
120000,240.00000000041786,-2676000.946284186,300.8393139652696,149
122500,245.00000000044173,-2679689.255343994,300.4271834111689,148
125000,250.0000000004656,-2679231.5601532217,300.1561402354311,148
127500,255.00000000048948,-2679618.519312918,300.09029953694903,148
130000,260.00000000051335,-2680395.4496759865,299.58745448490214,149
132500,265.0000000005372,-2678285.8423623666,300.44205570669266,149
135000,270.0000000005611,-2677111.6018953305,299.55150194523026,149
137500,275.000000000585,-2679722.0905373786,299.76085167520284,149
140000,280.00000000060885,-2678570.975532381,301.2828188070815,149
142500,285.0000000006327,-2677770.3339110967,298.85374190814065,149
145000,290.0000000006566,-2681477.872728791,300.25115333377886,149
147500,295.0000000006805,-2679736.8781361654,299.81064503274825,149
150000,300.00000000070435,-2680119.805509776,299.7569754652505,149
152500,305.0000000007282,-2680769.5500786547,299.3878914766697,149
155000,310.0000000007521,-2680566.046526378,300.6149072430653,149
157500,315.00000000077597,-2678387.2051354684,301.0119957844895,149
160000,320.00000000079984,-2674741.076692689,298.2841460221247,149
162500,325.0000000008237,-2677035.3141955286,300.7120215550225,149
165000,330.0000000008476,-2677328.458972778,299.7604313532736,149
167500,335.00000000087147,-2681569.0795205142,299.4760171289596,149
170000,340.00000000089534,-2681957.561418066,299.3023998951736,149
172500,345.0000000009192,-2681017.5235230047,300.04786043866545,149
175000,350.0000000009431,-2677831.6059341356,301.51083143048817,149
177500,355.00000000096696,-2678897.9670793507,299.575558779457,149
180000,360.00000000099084,-2680493.793857936,300.3991214053642,149
182500,365.0000000010147,-2678727.895305913,300.4336720674095,149
185000,370.0000000010386,-2677081.778904047,300.46288608756504,149
