#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-3391201.7943367492,300.0477732340226,0
55000,109.99999999992504,-3389247.183638232,299.84443869975325,125
57500,114.99999999991338,-3387978.323464047,300.7056166354691,127
60000,119.99999999990173,-3387892.2145577595,301.48783177313464,129
62500,124.99999999989008,-3389994.7461262792,299.82768452958794,129
65000,129.99999999989262,-3391062.893516915,300.6605610933737,130
67500,134.9999999999165,-3391193.71740862,301.43931170525786,130
70000,139.99999999994037,-3388184.1479939613,301.59453436110994,130
72500,144.99999999996425,-3392495.759580573,299.76734635438834,130
75000,149.99999999998812,-3389884.6827201135,299.40422825751654,130
77500,155.000000000012,-3390548.531618137,298.91093377005524,130
80000,160.00000000003587,-3393691.2432060633,301.48122029066565,130
82500,165.00000000005974,-3390253.3602193,300.3668620212941,130
85000,170.00000000008362,-3390133.231322719,299.92956464775943,130
87500,175.0000000001075,-3390651.2497068346,300.56315808035595,130
90000,180.00000000013137,-3393988.830122106,300.9243892853574,130
92500,185.00000000015524,-3390646.1778614204,300.35747161879016,130
95000,190.0000000001791,-3388938.0471310634,300.3032389066427,130
97500,195.000000000203,-3387632.7181047667,300.12596595981466,130
100000,200.00000000022686,-3389316.3552960735,299.83221055506755,130
102500,205.00000000025074,-3388970.3127352167,300.2065002844682,130
105000,210.0000000002746,-3390093.3278461713,299.915539711338,130
107500,215.00000000029848,-3387517.544958951,300.6506978845444,130
110000,220.00000000032236,-3387247.936261704,300.93363876389634,130
112500,225.00000000034623,-3388144.787415305,300.42512586310454,130
115000,230.0000000003701,-3392149.3086430226,300.34566512049133,130
117500,235.00000000039398,-3388807.806397628,299.7710294786979,130
120000,240.00000000041786,-3387685.9725511707,301.0172782660602,130
122500,245.00000000044173,-3389796.040925363,299.4454106934848,131
125000,250.0000000004656,-3388318.83881991,300.9502110480863,131
127500,255.00000000048948,-3389314.355762299,299.4909979948204,130
130000,260.00000000051335,-3393172.9698934574,300.2274029023904,130
132500,265.0000000005372,-3392668.3532351684,299.445227622026,130
135000,270.0000000005611,-3391997.8227875717,301.33870391849854,130
137500,275.000000000585,-3388231.610373888,300.2815806826573,130
140000,280.00000000060885,-3389699.877147138,300.4319877729094,130
142500,285.0000000006327,-3390709.929077221,300.3293453002257,130
145000,290.0000000006566,-3391454.7148833945,300.17372334150485,130
147500,295.0000000006805,-3391108.6944221687,299.47492647578446,130
150000,300.00000000070435,-3390098.387007937,300.8032587225405,130
152500,305.0000000007282,-3391169.5515730903,300.889329310997,130
155000,310.0000000007521,-3393483.5004471075,301.4742249763627,130
157500,315.00000000077597,-3390133.9177303147,301.162778098662,130
160000,320.00000000079984,-3392404.3982282747,300.46102803442244,130
162500,325.0000000008237,-3390608.9493498765,299.97201712672273,130
165000,330.0000000008476,-3393436.1451608073,300.190287534253,130
167500,335.00000000087147,-3392056.2880506925,300.31837283875336,130
170000,340.00000000089534,-3389927.1984196007,300.8240788965318,130
172500,345.0000000009192,-3389949.4202531483,301.76009212337976,130
175000,350.0000000009431,-3385504.7731626555,300.23242062096534,130
177500,355.00000000096696,-3389002.7264530156,301.4378339105169,130
180000,360.00000000099084,-3389154.2805301696,299.87707539434615,130
182500,365.0000000010147,-3391984.987149572,300.08262558322826,130
185000,370.0000000010386,-3392371.391586719,300.78634744261177,130
187500,375.00000000106246,-3393476.8533299286,300.94019633650686,130
190000,380.00000000108633,-3395287.0105256625,300.68204813813406,130
192500,385.0000000011102,-3390965.333826037,300.32894384260095,130
195000,390.0000000011341,-3387834.378332613,300.0161919045207,130
197500,395.00000000115796,-3392594.3154655676,301.4947148637264,130
200000,400.00000000118183,-3390570.724363435,300.21838186981455,130
202500,405.0000000012057,-3391868.1342471987,300.3489583641433,130
205000,410.0000000012296,-3392608.481830774,300.83185321719037,130
207500,415.00000000125345,-3393570.1575964857,300.4342331267696,130
210000,420.00000000127733,-3393435.744467439,300.06705189440214,130
212500,425.0000000013012,-3391641.191478951,300.0774592703805,130
215000,430.0000000013251,-3391493.497504713,300.46907199709744,130
217500,435.00000000134895,-3390670.9226108473,299.09747316188964,130
220000,440.0000000013728,-3394098.8006476313,301.55469598380245,130
222500,445.0000000013967,-3390442.4686767757,301.6259255483774,130
225000,450.0000000014206,-3391847.774357224,299.2504233810324,130
227500,455.00000000144445,-3389980.803239733,299.1475464344858,130
